x,y,u,v
37300.0,100.0,0.63,-0.02
37400.0,100.0,0.62,-0.02
37500.0,100.0,0.6,-0.02
37600.0,100.0,0.6,-0.02
37700.0,100.0,0.59,-0.02
37800.0,100.0,0.6,-0.02
37900.0,100.0,0.6,-0.02
38000.0,100.0,0.6,-0.03
38100.0,100.0,0.6,-0.03
38200.0,100.0,0.59,-0.03
38300.0,100.0,0.59,-0.03
38400.0,100.0,0.58,-0.03
38500.0,100.0,0.56,-0.03
38600.0,100.0,0.54,-0.03
38700.0,100.0,0.51,-0.03
38800.0,100.0,0.47,-0.03
38900.0,100.0,0.43,-0.03
39000.0,100.0,0.39,-0.03
39100.0,100.0,0.35,-0.03
39200.0,100.0,0.31,-0.03
39300.0,100.0,0.28,-0.03
39400.0,100.0,0.25,-0.02
39500.0,100.0,0.22,-0.02
39600.0,100.0,0.2,-0.02
39700.0,100.0,0.17,-999.0
39800.0,100.0,0.15,-999.0
39900.0,100.0,0.13,-999.0
40000.0,100.0,0.11,-999.0
40100.0,100.0,0.1,-0.04
40200.0,100.0,0.09,-0.04
40300.0,100.0,0.08,-0.04
40400.0,100.0,0.06,-0.04
40500.0,100.0,0.05,-0.04
40600.0,100.0,0.05,-0.04
40700.0,100.0,0.04,-0.04
40800.0,100.0,0.04,-0.04
40900.0,100.0,0.03,-0.04
41000.0,100.0,0.02,-0.04
41100.0,100.0,0.02,-0.04
41200.0,100.0,0.01,-0.04
41300.0,100.0,0.01,-0.04
41400.0,100.0,0.01,-0.04
41500.0,100.0,-0.0,-0.04
41600.0,100.0,-0.0,-0.04
41700.0,100.0,-0.01,-0.04
41800.0,100.0,-0.01,-0.04
41900.0,100.0,-0.02,-0.04
42000.0,100.0,-0.02,-0.04
42100.0,100.0,-0.02,-0.04
42200.0,100.0,-0.03,-0.04
42300.0,100.0,-0.03,-0.04
42400.0,100.0,-0.03,-0.04
42500.0,100.0,-0.04,-0.04
42600.0,100.0,-0.04,-0.04
42700.0,100.0,-0.04,-0.04
42800.0,100.0,-0.04,-0.04
42900.0,100.0,-0.04,-0.04
43000.0,100.0,-0.04,-0.04
43100.0,100.0,-0.04,-0.04
43200.0,100.0,-0.04,-0.04
43300.0,100.0,-0.04,-0.04
43400.0,100.0,-0.04,-0.04
43500.0,100.0,-0.04,-0.04
43600.0,100.0,-0.04,-0.04
43700.0,100.0,-0.03,-0.04
43800.0,100.0,-0.03,-999.0
43900.0,100.0,-0.03,-999.0
44000.0,100.0,-0.03,-999.0
44100.0,100.0,-0.04,-999.0
44200.0,100.0,-0.03,-999.0
44300.0,100.0,-0.03,-999.0
44400.0,100.0,-0.03,-999.0
44500.0,100.0,-0.03,-999.0
44600.0,100.0,-0.03,-999.0
44700.0,100.0,-0.03,-999.0
44800.0,100.0,-0.03,-999.0
44900.0,100.0,-0.03,-999.0
45000.0,100.0,-0.03,-999.0
45100.0,100.0,-0.03,-999.0
45200.0,100.0,-0.03,-999.0
45300.0,100.0,-0.03,-999.0
45400.0,100.0,-0.03,-999.0
45500.0,100.0,-0.02,-999.0
45600.0,100.0,-0.03,-999.0
45700.0,100.0,-0.03,-999.0
45800.0,100.0,-0.03,-999.0
45900.0,100.0,-0.03,-999.0
46000.0,100.0,-0.02,-999.0
46100.0,100.0,-0.03,-999.0
46200.0,100.0,-0.02,-999.0
46300.0,100.0,-0.03,-999.0
46400.0,100.0,-0.02,-999.0
46500.0,100.0,-0.03,-0.06
46600.0,100.0,-0.02,-0.06
46700.0,100.0,-0.03,-0.06
46800.0,100.0,-0.03,-0.06
46900.0,100.0,-0.03,-999.0
47000.0,100.0,-0.03,-999.0
47100.0,100.0,-0.03,-999.0
47200.0,100.0,-0.02,-999.0
47300.0,100.0,-0.03,-999.0
47400.0,100.0,-0.03,-999.0
47500.0,100.0,-0.03,-999.0
47600.0,100.0,-0.02,-999.0
47700.0,100.0,-0.03,-999.0
47800.0,100.0,-0.03,-999.0
47900.0,100.0,-0.02,-999.0
48000.0,100.0,-0.03,-999.0
48100.0,100.0,-0.03,-999.0
48200.0,100.0,-0.03,-999.0
48300.0,100.0,-0.03,-999.0
48400.0,100.0,-0.03,-999.0
48500.0,100.0,-0.03,-999.0
48600.0,100.0,-0.03,-999.0
48700.0,100.0,-0.03,-999.0
48800.0,100.0,-0.03,-999.0
48900.0,100.0,-0.03,-999.0
49000.0,100.0,-0.03,-999.0
49100.0,100.0,-0.02,-999.0
49200.0,100.0,-0.03,-999.0
49300.0,100.0,-0.03,-999.0
49400.0,100.0,-0.02,-999.0
49500.0,100.0,-0.03,-999.0
49600.0,100.0,-0.02,-999.0
49700.0,100.0,-0.03,-999.0
49800.0,100.0,-0.02,-999.0
49900.0,100.0,-0.02,-999.0
